,User,Number of Likes,Tweet,SENTIMENT
34,Tensiometre,0,RT @BB27000: 2/ Le ministre parle de remettre un « accord social » en place dans les deux entreprises RATP et SNCF en pointant l’histoire s…,Négatif
35,Ⓜ️ tanguycornec,0,"@nicolas_wohrer @J_Villumsen @ECiotti Non! L’état Français, donc le citoyen français subventionne des systèmes de r… https://t.co/TCDLPEK9gW",Très négatif
36,Guillaume / Twinsen 🥐,0,"RT @le_Parisien: Grève du 8 février : SNCF, RATP, écoles, raffineries… les perturbations secteur par secteur
➡️ https://t.co/pN5hRLYUd2 htt…",Neutre
37,Mimi 🐭,0,RT @JosieLaRelou: @RicordeauYvan @franceinfo Ah bon ? Combien de grévistes dans le privé ? Parce que compter les éternels gréviculteurs de…,Très négatif
38,MyTransit Paris,0,"Grève à la RATP et à la SNCF : un trafic ""très perturbé"" pour les ... - France 3 Régions https://t.co/3PqTrcui3V… https://t.co/w0lXa7Eqf7",Neutre
39,Michaela70,0,"RT @menfire29: Comme d'habitude ce seront les plus nantis qui vont casser les couilles aux citoyens qui veulent bosser .. SNCF, RATP, EDF c…",Très négatif
40,veronique rousseau,0,"RT @Plusdetrains: ⚠️ Prochains jours de grève

RATP: 7 février (sans reconduction les jours suivants)
SNCF: 7 février mais certains syndica…",Neutre
41,Mounir 🇵🇸 ,0,"RT @le_Parisien: Grève du 8 février : SNCF, RATP, écoles, raffineries… les perturbations secteur par secteur
➡️ https://t.co/pN5hRLYUd2 htt…",Neutre
42,Mounir 🇵🇸 ,0,"RT @le_Parisien: Grève du 7 février : SNCF, RATP, écoles, raffineries… les perturbations secteur par secteur
➡️ https://t.co/D8YzfZFWEE htt…",Neutre
43,Nounou,0,@ElConductor14 Alors qu'à la SNCF et à la RATP tout se passe bien 😂😂😂,Neutre
44,inconnu inconnu,1,@parisienencoler @LVolume1 l'ideologie de la mairie de paris est de parquer tous les parisiens et franciliens qui v… https://t.co/hUQ6rJVJ8I,Très négatif
45,Doll,0,RT @Sousko91: Dans #parigo mme Pécresse n'assume absolument ses torts elle a toujours un bouc émissaire soit RATP soit SNCF 😂,Très négatif
46,inconnu inconnu,0,"@spot_trader @parisienencoler en tant que maire NON

c'est de parquer tous les conducteurs de 2RM et de voitures da… https://t.co/NfwLPizelf",Très négatif
47,CaroleM,0,RT @jlmalys: 4. La seule mesure spécifique aux régimes spéciaux est la disparition à terme (dans plus de 40 ans et pas avant !) de tous les…,Très positif
48,DEJAEGER Bruno,0,"RT @Tehemparis: Réforme des retraites taux de grévistes le 31 janvier: RATP 37,5% SNCF 36,5% gaziers 75%, EDF 40,3% éducation nationale 26,…",Neutre
49,Francis Pawlak,0,"RT @_LePetitCaporal: Non, on ne passe pas directement ""du travail au cimetière"", contrairement aux affirmations toutes pétées des opposants…",Très négatif
50,Durupt Jean claude,0,"RT @Tehemparis: Réforme des retraites taux de grévistes le 31 janvier: RATP 37,5% SNCF 36,5% gaziers 75%, EDF 40,3% éducation nationale 26,…",Neutre
51,Lightname ⚡🚗,0,"@Plusdetrains A la SNCF y'a grève aussi mercredi hein  , je comprends pas PQ la ratp ne suis pas le mouvement de la SNCF",Très négatif
52,MONIKERN,0,RT @DidierMontier: La retraite par répartition est un pari générationnel de solidarité 🤫 force est de constater que les grévistes dans la r…,Très positif
53,vol(on)taire 🌻,0,@TortueAgace @franceinfoplus Et le gamin de 15 ans qui a débité sa logorrhée mélenchoniste sur bmf c'est quoi. Les… https://t.co/HEinsU37UL,Très négatif
54,Media44Info,0,@EELV @FranceInsoumise 🤔 Déménageur n'est pas un métier pénible et subira toutes les réformes des retraites. Minist… https://t.co/ch7P9KW1Or,Positif
55,Media44Info,0,@PCF @partisocialiste 🤔 Déménageur n'est pas un métier pénible et subira toutes les réformes des retraites. Ministr… https://t.co/YFOLrle0xO,Neutre
56,Media44Info,0,@MathieuMlefevre @DeputesRE 🤔 Déménageur n'est pas un métier pénible et subira toutes les réformes des retraites. M… https://t.co/ikLQkThR7K,Neutre
57,Media44Info,0,"@HorizonsLeParti 🤔 Déménageur n'est pas un métier pénible et subira toutes les réformes des retraites. Ministres, S… https://t.co/T8aiw6slKa",Très positif
58,Media44Info,0,@lesRepublicains @MoDem 🤔 Déménageur n'est pas un métier pénible et subira toutes les réformes des retraites. Minis… https://t.co/dzQN2aR31q,Neutre
59,VcommeVendetta,0,"RT @Plusdetrains: ⚠️ Prochains jours de grève

RATP: 7 février (sans reconduction les jours suivants)
SNCF: 7 février mais certains syndica…",Neutre
60,Media44Info,0,@BFMTV @CNEWS @LCI @franceinfo 🤔 Déménageur n'est pas un métier pénible et subira toutes les réformes des retraites… https://t.co/9EhzzHgZ6o,Neutre
61,Michel MARTIN,0,"Il ne faut pas défiler avec cette extrême gauche Mekanchoniste qui ne votera pas la mention de censure du RN. 
Deho… https://t.co/NSlPg81eij",Très négatif
62,Media44Info,0,"@BrunoLeMaire 🤔 Déménageur n'est pas un métier pénible et subira toutes les réformes des retraites. Ministres, Séna… https://t.co/w49e47qEZW",Neutre
63,marion chaix,0,"RT @Tehemparis: Réforme des retraites taux de grévistes le 31 janvier: RATP 37,5% SNCF 36,5% gaziers 75%, EDF 40,3% éducation nationale 26,…",Neutre
64,Media44Info,0,@CFDT @CfdtBerger @CGT 🤔 Déménageur n'est pas un métier pénible et subira toutes les réformes des retraites. Minist… https://t.co/xpApKRumbs,Neutre
65,Media44Info,0,@cavousf5 @GDarmanin @BrunoLeMaire @priscathevenot 🤔 Déménageur n'est pas un métier pénible et subira toutes les ré… https://t.co/m8o9vJ0AOU,Neutre
66,cathy 🇫🇷,0,des gens décident d’abandonner leur vie pour moins que ça putain mort à la ratp la sncf le rer d,Très négatif
67,Media44Info,0,@BrandelyJoel @AssembleeNat 🤔 Déménageur n'est pas un métier pénible et subira toutes les réformes des retraites. M… https://t.co/7p9NAI8puG,Neutre
68,Media44Info,0,@LohuesMaxime @GuillainGilliot @CBeaune @olivierdussopt @Cl_Chassaniol @MelisandeTran @JeunesMacron75 @AssembleeNat… https://t.co/jVt4YWZngy,Neutre
69,Media44Info,0,@Lycrem2 @M_ln_girard @GabrielAttal @Renaissance 🤔 Déménageur n'est pas un métier pénible et subira toutes les réfo… https://t.co/hqyjXEc2Gf,Neutre
70,Media44Info,0,@Elisabeth_Borne @EmmanuelMacron @gouvernementFR 🤔 Déménageur n'est pas un métier pénible et subira toutes les réfo… https://t.co/MXAZXdQGyk,Neutre
71,Martine Skopan 💙💛🇫🇷🇪🇺#JeSuisCharlie #FBPE,0,"RT @Tehemparis: Réforme des retraites taux de grévistes le 31 janvier: RATP 37,5% SNCF 36,5% gaziers 75%, EDF 40,3% éducation nationale 26,…",Neutre
72,Gilles Martinet,4,🔥 Soutien aux travailleur·ses de la RATP et de la SNCF (et des entreprises sous-traitantes) qui subissent de plein… https://t.co/m5ge269Cha,Très positif
73,Media44Info,1,"@AssembleeNat 🤔 Déménageur n'est pas un métier pénible et subira toutes les réformes des retraites. Ministres, Séna… https://t.co/fNF04CAcZ4",Neutre
74,Media44Info,0,@Senat 🤔 Déménageur n'est pas un métier pénible. Il subira toutes les réformes et contraintes des retraites. Minist… https://t.co/WOArqYELcb,Neutre
75,GRANGER Yves #GouvernementDeTromperie,2,"Grève du 7 février : SNCF, RATP, écoles, raffineries… les perturbations secteur par secteur
https://t.co/TE7kQaTmcU",Positif
76,Media44Info,0,@LCI @annie_bodendahl @BrunoLeMaire @agindre 🤔 Déménageur n'est pas un métier pénible. Il subira toutes les réforme… https://t.co/tdyddxVhNs,Neutre
77,Anne Targaryen 🏳️‍🌈,0,"@HadrienClouet Tu cherches à sauver les régimes spéciaux, le tien d’abord puis la ratp, la sncf et tous les régimes liés à la cgt. C’est NON",Très négatif
78,Client Sncf🇬🇧,0,"RT @belgossdu78: Hello,

Je jette une bouteille à la mer. j’ai perdu, aujourd’hui , vers 19h mon écharpe noir et blanche  de la marque mais…",Très négatif
79,Pascal RENAUD 🇺🇦,0,"RT @Tehemparis: Réforme des retraites taux de grévistes le 31 janvier: RATP 37,5% SNCF 36,5% gaziers 75%, EDF 40,3% éducation nationale 26,…",Neutre
80,Bulle,0,@CBeaune @Ligne4_RATP @Ligne6_RATP On pourrait dire pareil quand notre train @LIGNER_SNCF est à l heure mais que fi… https://t.co/w7Dho5LhwP,Neutre
81,Alexou🌹❤️💫,0,"RT @Plusdetrains: ⚠️ Prochains jours de grève

RATP: 7 février (sans reconduction les jours suivants)
SNCF: 7 février mais certains syndica…",Neutre
82,Wimpelor,0,"RT @ArthurNicola_: - Le public (SNCF/RATP/fonctionnaires/profs) qui s’était mobilisé en 2019
- Le privé concentré (Total, PSA, aéronautique…",Neutre
83,Yoda DK,0,"RT @Tehemparis: Réforme des retraites taux de grévistes le 31 janvier: RATP 37,5% SNCF 36,5% gaziers 75%, EDF 40,3% éducation nationale 26,…",Neutre
84,Jean-Luc Hyernard,0,"RT @Tehemparis: Réforme des retraites taux de grévistes le 31 janvier: RATP 37,5% SNCF 36,5% gaziers 75%, EDF 40,3% éducation nationale 26,…",Neutre
85,Granet Françoise,0,"RT @Tehemparis: Réforme des retraites taux de grévistes le 31 janvier: RATP 37,5% SNCF 36,5% gaziers 75%, EDF 40,3% éducation nationale 26,…",Neutre
86,Jérôme Charré,0,"RT @Plusdetrains: ⚠️ Prochains jours de grève

RATP: 7 février (sans reconduction les jours suivants)
SNCF: 7 février mais certains syndica…",Neutre
87,lapointe,0,"RT @_LePetitCaporal: Non, on ne passe pas directement ""du travail au cimetière"", contrairement aux affirmations toutes pétées des opposants…",Très négatif
88,ⒹAZ_ⓂEN_ⒽNA,0,"RT @ArthurNicola_: - Le public (SNCF/RATP/fonctionnaires/profs) qui s’était mobilisé en 2019
- Le privé concentré (Total, PSA, aéronautique…",Neutre
89,ml,0,RT @DidierMontier: La retraite par répartition est un pari générationnel de solidarité 🤫 force est de constater que les grévistes dans la r…,Très positif
90,Jacques FRENEAT,0,RT @Nous_Citoyens: Si on alignait déjà les systèmes de retraite du secteur privé et public ? Cela réduirait les inégalités de traitement et…,Très positif
91,🦄 Le Penven Adrien 🏳️‍🌈,0,"RT @Plusdetrains: ⚠️ Prochains jours de grève

RATP: 7 février (sans reconduction les jours suivants)
SNCF: 7 février mais certains syndica…",Neutre
92,TeamLigneR,6,@CBeaune @Ligne4_RATP @Ligne6_RATP On aimerait bien qu’un jour ce soit également beaucoup mieux sur la @LIGNER_SNCF… https://t.co/6h97sdUgp5,Neutre
93,Henri Zunino,0,"@radioclassique journal 7h30 :
ACRONYME
Sigle qui se prononce comme un mot ordinaire.
« Ovni » et « sida » sont des… https://t.co/ja4U9SBU7s",Très négatif
94,Laurent STORCK,0,"@afpfr Partout où elle est passée, elle a cassée, désorganisée et obéit bêtement aux directives honteuses et minabl… https://t.co/vIp3FMm6TE",Très négatif
95,C47,0,"RT @Tehemparis: Réforme des retraites taux de grévistes le 31 janvier: RATP 37,5% SNCF 36,5% gaziers 75%, EDF 40,3% éducation nationale 26,…",Neutre
96,Ugo Lebron,0,"RT @Tehemparis: Réforme des retraites taux de grévistes le 31 janvier: RATP 37,5% SNCF 36,5% gaziers 75%, EDF 40,3% éducation nationale 26,…",Neutre
97,zolvert 🇫🇷🇪🇺,0,"RT @Tehemparis: Réforme des retraites taux de grévistes le 31 janvier: RATP 37,5% SNCF 36,5% gaziers 75%, EDF 40,3% éducation nationale 26,…",Neutre
98,LaMiaVita💛,0,"RT @Tehemparis: Réforme des retraites taux de grévistes le 31 janvier: RATP 37,5% SNCF 36,5% gaziers 75%, EDF 40,3% éducation nationale 26,…",Neutre
99,Robot De l'Info,0,"Grève : les perturbations attendues pour les vacances scolaires - https://t.co/lavAwKkZxM
SNCF, RATP, raffineries..… https://t.co/a9E4qrlGtT",Neutre
